signal_date,code,name,action,action_group,stage,score,signal_price,reason_tags,source_tab,source_report
2026-06-01,2344,華邦電,REDUCE,REDUCE_GROUP,,0.00,168.00,,watchlist,reports/report_20260601.html
2026-06-01,2356,英業達,HOLD,WATCH_GROUP,,0.00,77.20,,watchlist,reports/report_20260601.html
2026-06-01,2408,南亞科,HOLD,WATCH_GROUP,,0.00,381.50,,watchlist,reports/report_20260601.html
2026-06-01,2409,友達,HOLD,WATCH_GROUP,,0.00,23.80,,watchlist,reports/report_20260601.html
2026-06-01,3060,銘異,BUY,BUY_GROUP,,0.00,29.65,,market,reports/report_20260601.html
2026-06-01,3149,正達,REDUCE,REDUCE_GROUP,,0.00,78.30,,watchlist,reports/report_20260601.html
2026-06-02,1210,大成,BUY,BUY_GROUP,,0.00,52.80,,market,reports/report_20260602.html
2026-06-02,1504,東元,HOLD,WATCH_GROUP,,0.00,75.50,,positions,reports/report_20260602.html
2026-06-02,1608,華榮,BUY,BUY_GROUP,,0.00,35.85,,market,reports/report_20260602.html
2026-06-02,1710,東聯,BUY,BUY_GROUP,,0.00,14.55,,market,reports/report_20260602.html
2026-06-02,1809,中釉,TAKE PROFIT,REDUCE_GROUP,,0.00,52.60,,positions,reports/report_20260602.html
2026-06-02,2105,正新,BUY,BUY_GROUP,,0.00,34.00,,market,reports/report_20260602.html
2026-06-02,2303,聯電,SELL,REDUCE_GROUP,,0.00,141.50,,positions,reports/report_20260602.html
2026-06-02,2323,中環,BUY,BUY_GROUP,,0.00,11.60,,market,reports/report_20260602.html
2026-06-02,2337,旺宏,WATCH,WATCH_GROUP,,0.00,175.50,,positions,reports/report_20260602.html
2026-06-02,2344,華邦電,HOLD,WATCH_GROUP,,0.00,184.50,,watchlist,reports/report_20260602.html
2026-06-02,2356,英業達,WATCH,WATCH_GROUP,,0.00,80.60,,watchlist,reports/report_20260602.html
2026-06-02,2374,佳能,HOLD,WATCH_GROUP,,0.00,82.50,,positions,reports/report_20260602.html
2026-06-02,2401,凌陽,REDUCE,REDUCE_GROUP,,0.00,28.90,,positions,reports/report_20260602.html
2026-06-02,2408,南亞科,HOLD,WATCH_GROUP,,0.00,419.50,,watchlist,reports/report_20260602.html
2026-06-02,2409,友達,HOLD,WATCH_GROUP,,0.00,26.15,,watchlist,reports/report_20260602.html
2026-06-02,2597,潤弘,BUY,BUY_GROUP,,0.00,173.50,,market,reports/report_20260602.html
2026-06-02,2883,凱基金,BUY,BUY_GROUP,,0.00,23.40,,market,reports/report_20260602.html
2026-06-02,3015,全漢,HOLD,WATCH_GROUP,,0.00,54.50,,positions,reports/report_20260602.html
2026-06-02,3048,益登,SELL,REDUCE_GROUP,,0.00,75.20,,positions,reports/report_20260602.html
2026-06-02,3060,銘異,BUY,BUY_GROUP,,0.00,32.60,,market,reports/report_20260602.html
2026-06-02,3149,正達,HOLD,WATCH_GROUP,,0.00,86.10,,watchlist,reports/report_20260602.html
2026-06-02,3264,欣銓,SELL,REDUCE_GROUP,,0.00,214.50,,watchlist,reports/report_20260602.html
2026-06-02,3706,神達,BUY,BUY_GROUP,,0.00,95.20,,market,reports/report_20260602.html
2026-06-02,5483,中美晶,HOLD,WATCH_GROUP,,0.00,164.50,,watchlist,reports/report_20260602.html
2026-06-02,6485,ASOLID TECHNOLOGY CO LTD,BUY,BUY_GROUP,,0.00,116.50,,market,reports/report_20260602.html
2026-06-02,8112,至上,BUY,BUY_GROUP,,0.00,94.50,,market,reports/report_20260602.html
2026-06-02,8299,群聯,HOLD,WATCH_GROUP,,0.00,2820.00,,watchlist,reports/report_20260602.html
2026-06-02,8358,金居,TAKE PROFIT,REDUCE_GROUP,,0.00,627.00,,positions,reports/report_20260602.html
2026-06-02,9910,豐泰,BUY,BUY_GROUP,,0.00,79.00,,market,reports/report_20260602.html
2026-06-03,1210,大成,BUY,BUY_GROUP,,0.00,53.70,,market,reports/report_20260603.html
2026-06-03,1210,大成,WAIT,WATCH_GROUP,未就緒 NOT_READY,0.00,53.70,NOT_READY,watchlist,reports/report_20260603.html
2026-06-03,1307,三芳,BUY,BUY_GROUP,,0.00,34.00,,market,reports/report_20260603.html
2026-06-03,1313,聯成,BUY,BUY_GROUP,,0.00,11.90,,market,reports/report_20260603.html
2026-06-03,1319,東陽,BUY,BUY_GROUP,,0.00,94.30,,market,reports/report_20260603.html
2026-06-03,1504,東元,WATCH,WATCH_GROUP,,0.00,83.00,,positions,reports/report_20260603.html
2026-06-03,1710,東聯,WATCH,WATCH_GROUP,,0.00,16.00,,positions,reports/report_20260603.html
2026-06-03,1907,永豐餘,BUY,BUY_GROUP,,0.00,25.05,,market,reports/report_20260603.html
2026-06-03,2108,南帝,BUY,BUY_GROUP,,0.00,28.90,,market,reports/report_20260603.html
2026-06-03,2303,聯電,REDUCE,REDUCE_GROUP,,0.00,130.50,,positions,reports/report_20260603.html
2026-06-03,2337,旺宏,REDUCE,REDUCE_GROUP,,0.00,162.00,,positions,reports/report_20260603.html
2026-06-03,2356,英業達,TAKE_PROFIT,ENTRY_CAUTION_GROUP,過熱 OVERHEATED,0.00,85.40,OVERHEATED;追高,watchlist,reports/report_20260603.html
