setup_name,stock_code,stock_name,entry_date,entry_price,signal_date,signal_close,return_5d,return_10d,return_20d,return_60d,hold_return_5d,hold_return_10d,hold_return_20d,hold_return_60d,realized_drawdown,hit_stop,stop_reason,stop_date,stop_price,rs_rank_at_entry,proxy_symbol,market_proxy_return_20d,stock_return_20d,relative_return_vs_market_20d,breadth_below_ma20_pct,regime_event_id,regime_start_date,regime_end_date,momentum_flow,mtf_signal,sector
D_CRASH_SURVIVOR,1102,亞泥,2025-04-15,45.35,2025-04-14,45.30,-2.43,-0.99,-0.99,-2.43,-2.43,-0.99,-0.99,-8.49,-3.75,true,BREAK_MA60,2025-05-15,44.25,83.85,0050,-9.61,2.72,12.33,96.07,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1210,大成,2025-04-17,58.00,2025-04-16,57.90,3.45,2.93,7.76,3.45,3.45,2.93,7.76,8.10,0.00,true,BREAK_MA60,2025-06-19,60.00,93.27,0050,-10.82,0.87,11.69,91.98,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1210,大成,2025-04-23,58.80,2025-04-22,58.70,1.70,6.63,8.67,2.04,1.70,6.63,8.67,6.63,-1.36,true,BREAK_MA60,2025-06-19,60.00,95.04,0050,-14.76,2.09,16.85,89.57,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1210,大成,2025-04-24,59.00,2025-04-23,59.00,1.19,7.12,8.64,1.69,1.19,7.12,8.64,5.08,-1.69,true,BREAK_MA60,2025-06-19,60.00,94.68,0050,-10.89,1.20,12.09,81.29,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1213,大飲,2025-04-21,13.25,2025-04-18,13.30,-6.42,-6.42,-6.42,-6.42,-5.28,2.64,-3.40,-1.51,-6.42,true,BREAK_MA60,2025-04-22,12.40,91.97,0050,-10.88,-0.75,10.14,87.42,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1215,卜蜂,2025-03-17,103.00,2025-03-14,103.00,-0.97,-4.37,-9.71,-9.71,-0.97,-4.37,-5.83,8.74,-12.14,true,BREAK_MA60,2025-04-07,93.00,73.83,0050,-8.07,8.31,16.38,71.10,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1215,卜蜂,2025-04-17,96.70,2025-04-16,97.00,0.72,0.72,0.72,0.72,2.48,4.45,18.41,29.27,-0.21,true,BREAK_MA60,2025-04-18,97.40,85.26,0050,-10.82,-4.90,5.92,91.98,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1218,泰山,2025-04-24,20.45,2025-04-23,20.45,1.71,6.60,5.87,-0.49,1.71,6.60,5.87,-7.33,-1.71,true,BREAK_MA60,2025-06-26,20.35,86.16,0050,-10.89,-3.99,6.90,81.29,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,1225,福懋油,2026-03-31,31.80,2026-03-30,31.85,2.04,7.08,0.63,-0.79,2.04,7.08,0.63,,-4.40,true,BREAK_MA60,2026-05-12,31.55,70.21,0050,-8.03,-2.30,5.73,64.64,4,2026-03-30,2026-03-31,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1231,聯華食,2025-04-01,116.82,2025-03-31,115.91,1.95,1.95,1.95,1.95,3.89,1.56,5.06,9.34,-0.39,true,BREAK_MA60,2025-04-02,119.09,93.37,0050,-8.14,-2.30,5.84,92.02,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1231,聯華食,2025-04-17,116.82,2025-04-16,117.73,4.67,4.67,4.67,4.67,0.78,5.06,6.61,11.28,0.00,true,BREAK_MA60,2025-04-18,122.27,94.67,0050,-10.82,-2.63,8.19,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1232,大統益,2025-03-20,152.50,2025-03-19,153.00,0.00,0.33,-2.30,-2.30,0.00,0.33,-0.98,-1.64,-8.20,true,BREAK_MA60,2025-04-08,149.00,70.09,0050,-8.65,3.73,12.38,67.98,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1232,大統益,2025-04-16,152.00,2025-04-15,151.00,-0.66,-0.66,7.24,1.97,-0.66,-0.66,7.24,-0.66,-1.97,true,BREAK_MA60,2025-06-11,155.00,86.87,0050,-8.39,-0.66,7.74,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1233,天仁,2025-04-14,34.60,2025-04-11,34.60,-2.31,-0.43,-5.92,-5.92,-2.31,-0.43,-5.92,-10.40,-7.51,true,BREAK_MA60,2025-05-13,32.55,91.24,0050,-9.98,13.07,23.06,96.63,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1233,天仁,2025-04-28,34.40,2025-04-25,34.45,-4.80,-5.38,-5.38,-5.38,-4.80,-5.38,-5.23,-10.90,-6.98,true,BREAK_MA60,2025-05-13,32.55,91.88,0050,-10.16,-4.57,5.59,60.45,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1240,MORN SUN FEED MILL CORP,2025-04-01,53.27,2025-03-31,53.64,-7.72,-7.72,-7.72,-7.72,-1.58,1.75,1.23,8.25,-8.77,true,BREAK_MA60,2025-04-07,49.16,87.90,0050,-8.14,9.13,17.26,92.02,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1240,MORN SUN FEED MILL CORP,2025-04-17,53.93,2025-04-16,53.93,-0.52,0.00,1.56,10.05,-0.52,0.00,1.56,10.05,-2.77,false,,,0.00,92.75,0050,-10.82,6.07,16.89,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1264,TEHMAG FOODS CORPORATION,2025-04-17,296.00,2025-04-16,298.50,1.01,1.01,1.01,1.01,1.35,3.72,6.25,9.63,0.00,true,BREAK_MA60,2025-04-18,299.00,79.43,0050,-10.82,-5.54,5.28,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1307,三芳,2026-03-31,34.60,2026-03-30,34.80,-6.07,-6.07,-6.07,-6.07,-9.25,-7.37,-8.38,,-6.65,true,BREAK_MA60,2026-04-01,32.50,78.48,0050,-8.03,2.05,10.08,64.64,4,2026-03-30,2026-03-31,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1313,聯成,2026-03-31,13.45,2026-03-30,13.45,-12.27,-12.27,-12.27,-12.27,-11.52,-8.18,-17.47,,-13.01,true,PCT_-10,2026-04-08,11.80,84.66,0050,-8.03,17.47,25.49,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1316,上曜,2025-04-17,15.65,2025-04-16,15.85,-3.51,-3.51,-3.51,-3.51,-4.79,2.56,-1.28,-9.27,-5.11,true,BREAK_MA60,2025-04-18,15.10,85.62,0050,-10.82,7.09,17.92,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1319,東陽,2025-04-15,134.00,2025-04-14,126.00,-5.22,0.00,-9.70,-9.70,-5.22,0.00,-1.49,-30.00,-10.82,true,BREAK_MA60,2025-05-05,121.00,95.97,0050,-9.61,1.61,11.22,96.07,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1409,新纖,2026-03-31,15.90,2026-03-30,15.85,-0.31,7.23,5.66,,-0.31,7.23,5.66,,-3.46,false,,,0.00,75.73,0050,-8.03,4.62,12.65,64.64,4,2026-03-30,2026-03-31,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1413,宏洲,2025-04-16,11.25,2025-04-15,11.45,1.78,1.78,1.78,1.78,1.78,3.56,5.33,5.33,0.00,true,BREAK_MA60,2025-04-18,11.45,94.57,0050,-8.39,-3.38,5.02,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1417,嘉裕,2026-03-31,9.12,2026-03-30,9.13,-0.77,-0.88,-2.96,-2.96,-0.77,-0.88,-2.96,,-3.40,true,BREAK_MA60,2026-04-27,8.85,75.01,0050,-8.03,3.63,11.66,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1439,雋揚,2025-04-17,31.45,2025-04-16,30.70,-2.38,-2.38,-2.38,-2.38,-2.23,-1.27,-1.11,-5.88,-2.38,true,BREAK_MA60,2025-04-18,30.70,84.32,0050,-10.82,-5.10,5.72,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1442,名軒,2025-04-15,80.60,2025-04-14,80.60,-1.99,-1.99,-1.99,-1.99,-13.15,-12.16,-15.01,-11.41,-2.61,true,BREAK_MA60,2025-04-16,79.00,96.70,0050,-9.61,1.38,10.99,96.07,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1451,年興,2025-04-01,21.65,2025-03-31,21.45,-10.62,-10.62,-10.62,-10.62,-17.32,-16.40,-13.86,-13.39,-10.62,true,BREAK_MA60,2025-04-07,19.35,87.38,0050,-8.14,6.98,15.12,92.02,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1455,集盛,2025-04-23,9.26,2025-04-22,9.28,1.30,1.30,1.30,1.30,3.46,3.02,3.24,-3.35,-0.11,true,BREAK_MA60,2025-04-24,9.38,70.31,0050,-14.76,-6.64,8.12,89.57,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1456,怡華,2026-03-31,14.20,2026-03-30,14.30,-1.41,3.87,-5.99,-5.99,-1.41,3.87,-3.52,,-7.04,true,BREAK_MA60,2026-04-27,13.35,79.35,0050,-8.03,5.93,13.95,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1459,聯發,2025-03-20,12.70,2025-03-19,12.50,-0.79,-8.27,-14.57,-14.57,-0.79,-8.27,-16.93,-8.66,-17.32,true,BREAK_MA60,2025-04-08,10.85,91.80,0050,-8.65,18.48,27.14,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1460,宏遠,2026-03-31,7.12,2026-03-30,7.18,-1.69,-2.25,-4.21,-4.21,-1.69,-2.25,-1.97,,-4.49,true,BREAK_MA60,2026-04-20,6.82,82.47,0050,-8.03,4.21,12.24,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1466,聚隆,2025-04-01,16.75,2025-03-31,16.75,-17.01,-17.01,-17.01,-17.01,-17.61,-21.19,-12.54,-9.55,-17.01,true,BREAK_MA60,2025-04-08,13.90,96.44,0050,-8.14,25.00,33.14,92.02,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1468,昶和,2025-03-17,14.15,2025-03-14,14.05,0.00,-4.59,-13.43,-13.43,0.00,-4.59,-6.71,1.06,-13.43,true,BREAK_MA60,2025-04-07,12.25,74.45,0050,-8.07,7.25,15.32,71.10,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1470,大統新創,2025-04-15,23.15,2025-04-14,23.15,1.08,8.86,9.29,-3.67,1.08,8.86,9.29,-8.42,-6.48,true,BREAK_MA60,2025-06-02,22.30,93.16,0050,-9.61,1.98,11.59,96.07,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,1472,三洋實業,2025-04-25,102.00,2025-04-24,102.50,-1.96,-3.43,-0.49,-3.53,-1.96,-3.43,-0.49,-14.80,-5.88,true,BREAK_MA60,2025-06-09,98.40,99.25,0050,-12.32,3.33,15.65,77.15,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1472,三洋實業,2026-04-01,96.50,2026-03-31,95.00,-1.55,-1.14,-5.39,-5.39,-1.55,-1.14,-7.67,,-5.39,true,BREAK_MA60,2026-04-28,91.30,70.98,0050,-8.13,4.97,13.10,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1474,弘裕,2025-03-17,14.10,2025-03-14,14.00,-0.71,-2.48,-9.93,-9.93,-0.71,-2.48,-13.83,-10.64,-9.93,true,BREAK_MA60,2025-04-07,12.70,88.20,0050,-8.07,13.36,21.43,71.10,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1528,恩德,2025-03-17,17.05,2025-03-14,16.95,2.64,-13.49,-13.49,-13.49,2.64,-13.49,-28.45,-24.93,-14.96,true,BREAK_MA60,2025-03-31,14.75,92.06,0050,-8.07,16.49,24.57,71.10,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1531,高林股,2026-03-31,12.50,2026-03-30,12.60,4.80,4.40,3.60,0.80,4.80,4.40,3.60,,-0.40,true,BREAK_MA60,2026-05-12,12.60,73.12,0050,-8.03,1.20,9.23,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1536,和大,2025-03-17,73.90,2025-03-14,73.50,-1.49,-5.95,-5.95,-5.95,-1.49,-14.61,-21.38,-18.67,-7.98,true,BREAK_MA60,2025-03-28,69.50,87.79,0050,-8.07,6.83,14.90,71.10,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,1538,正峰,2025-03-17,30.90,2025-03-14,30.35,-6.96,-6.96,-6.96,-6.96,-12.30,-17.48,-14.08,-6.63,-13.27,true,BREAK_MA60,2025-03-19,28.75,70.39,0050,-8.07,5.02,13.09,71.10,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,1563,巧新,2025-03-17,70.50,2025-03-14,69.50,-2.55,-11.49,-11.49,-11.49,-2.55,-11.49,-16.17,-21.13,-11.63,true,BREAK_MA60,2025-03-31,62.40,83.41,0050,-8.07,9.79,17.87,71.10,2,2025-03-13,2025-03-19,MOMENTUM_FADING,STRONG,
D_CRASH_SURVIVOR,1565,ST SHINE OPTICAL,2025-03-20,196.50,2025-03-19,196.00,0.25,-2.04,-2.04,-2.04,0.25,-8.40,-14.76,-18.58,-2.29,true,BREAK_MA60,2025-03-28,192.50,80.30,0050,-8.65,3.70,12.36,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
