setup_name,bucket,stop_policy,window,signal_count,matured_20d_count,unmatured_20d_count,available_20d,status,win_20d,avg_return_20d_stopadj,median_20d,hold_return_20d,stop_delta_20d,stop_hit_rate,rdd_avg,rdd_p90,win_5d,avg_5d,win_10d,avg_10d,win_60d,avg_60d,avail_60d
A_MA20_PULLBACK,0,BASELINE,recent_2m,337,208,129,203,OK,41.87,4.36,-2.61,7.95,-3.59,62.02,-7.46,-14.29,45.67,0.84,45.19,1.73,5.43,-7.57,129
A_MA20_PULLBACK,0,BASELINE,recent_4m,663,534,129,529,OK,40.45,5.70,-2.51,9.31,-3.61,72.10,-6.63,-13.32,45.13,1.50,44.38,3.03,18.05,1.32,410
A_MA20_PULLBACK,0,BASELINE,recent_6m,1137,1008,129,1003,OK,39.38,5.54,-2.21,8.14,-2.60,78.27,-6.32,-12.48,44.64,1.06,44.74,2.82,24.21,7.39,884
A_MA20_PULLBACK,0,PCT_ONLY_10,recent_2m,337,208,129,203,OK,46.80,4.96,-2.01,7.95,-2.99,39.42,-8.85,-15.51,46.15,0.73,46.63,1.86,0.00,-12.47,82
A_MA20_PULLBACK,0,PCT_ONLY_10,recent_4m,663,534,129,529,OK,47.83,6.48,-1.20,9.31,-2.83,40.26,-8.51,-14.29,46.63,1.49,48.50,3.39,21.68,4.69,286
A_MA20_PULLBACK,0,PCT_ONLY_10,recent_6m,1137,1008,129,1003,OK,47.46,6.13,-0.58,8.14,-2.01,43.55,-8.64,-13.89,46.03,1.05,49.40,3.10,33.82,11.92,760
A_MA20_PULLBACK,0,PCT_ONLY_12,recent_2m,337,208,129,201,OK,50.25,5.94,0.14,7.95,-2.01,33.17,-9.38,-16.67,46.15,0.68,49.04,2.23,0.00,-14.09,69
A_MA20_PULLBACK,0,PCT_ONLY_12,recent_4m,663,534,129,527,OK,50.28,7.08,0.19,9.31,-2.23,33.15,-9.03,-15.61,47.00,1.53,50.37,3.71,24.90,5.95,261
A_MA20_PULLBACK,0,PCT_ONLY_12,recent_6m,1137,1008,129,1001,OK,49.95,6.74,0.00,8.14,-1.41,35.02,-9.27,-15.47,46.33,1.09,50.60,3.31,38.37,14.14,735
A_MA20_PULLBACK,0,PCT_ONLY_15,recent_2m,337,208,129,196,OK,52.55,6.65,0.85,7.95,-1.30,22.60,-9.82,-17.40,46.15,0.69,50.00,2.42,0.00,-16.48,47
A_MA20_PULLBACK,0,PCT_ONLY_15,recent_4m,663,534,129,522,OK,54.21,8.46,1.37,9.31,-0.85,21.54,-9.59,-17.34,47.00,1.53,52.43,4.26,34.42,10.56,215
A_MA20_PULLBACK,0,PCT_ONLY_15,recent_6m,1137,1008,129,996,OK,52.61,7.58,0.77,8.14,-0.56,24.90,-9.96,-17.54,46.33,1.11,52.28,3.72,44.56,16.63,689
A_MA20_PULLBACK,0,ATR_2,recent_2m,337,208,129,200,OK,47.50,5.85,-2.11,7.95,-2.10,42.31,-8.85,-16.93,46.15,0.75,49.04,2.33,0.00,-11.05,88
A_MA20_PULLBACK,0,ATR_2,recent_4m,663,534,129,526,OK,48.86,7.60,-0.55,9.31,-1.71,44.94,-8.30,-16.31,46.82,1.57,50.37,3.98,18.33,3.81,300
A_MA20_PULLBACK,0,ATR_2,recent_6m,1137,1008,129,1000,OK,47.20,6.65,-0.70,8.14,-1.49,52.18,-8.08,-15.08,46.23,1.12,50.10,3.39,29.20,10.85,774
A_MA20_PULLBACK,0,ATR_3,recent_2m,337,208,129,193,OK,53.89,7.10,1.25,7.95,-0.85,24.04,-9.93,-19.58,46.63,0.72,50.96,2.70,0.00,-14.20,50
A_MA20_PULLBACK,0,ATR_3,recent_4m,663,534,129,519,OK,55.49,8.93,1.64,9.31,-0.38,25.84,-9.47,-18.32,47.38,1.61,53.18,4.63,33.48,11.01,224
A_MA20_PULLBACK,0,ATR_3,recent_6m,1137,1008,129,993,OK,52.67,7.72,0.87,8.14,-0.42,34.72,-9.49,-17.92,46.53,1.15,52.68,3.88,41.83,16.96,698
A_MA20_PULLBACK,0,SWING_LOW,recent_2m,337,208,129,195,OK,52.82,6.88,0.88,7.95,-1.07,24.52,-10.08,-19.63,46.63,0.58,50.00,2.52,0.00,-13.90,51
A_MA20_PULLBACK,0,SWING_LOW,recent_4m,663,534,129,521,OK,54.32,8.66,1.52,9.31,-0.65,28.46,-9.26,-18.37,47.00,1.55,51.87,4.41,27.51,9.14,229
